CatID	RA_06	DEC_06	round(B_06,8)	round(B_06_ERR,8)	round(V_06,8)	round(V_06_ERR,8)	round(R_06,8)	round(R_06_ERR,8)	round(I_MAG_AUTO_06,8)	AUTO_FLAG_06	round(I_06_ERR,8)	round(I_CFHT_06_ERR,8)	round(Z_06,8)	round(Z_06_ERR,8)	Z_BEST	round(RH,8)	round(LOGMASS_06,8)	Z_USE
6282184.00000000	150.18736267	2.37781000	21.74760056	0.01510000	21.23660088	0.01010000	21.05060005	0.00930000	20.70260048	2.00000000	-999.98999023	0.01480000	20.59390068	0.00810000	0.00500000	2.80780005	-999.98999023	4.00000000
6282186.00000000	150.21658325	2.38188195	22.15819931	0.01840000	21.68619919	0.01250000	21.45039940	0.01120000	20.91830063	1.00000000	0.00990000	0.02200000	20.99169922	0.01000000	0.00500000	2.50454497	8.72000027	4.00000000
6282881.00000000	150.15977478	2.35830808	21.04159927	0.01090000	20.78980064	0.00820000	20.79599953	0.00830000	20.51350021	2.00000000	-999.98999023	0.01310000	20.48259926	0.00760000	0.00500000	2.40993500	8.68099976	4.00000000
6283507.00000000	150.08872986	2.33616590	20.14640045	0.00720000	19.92849922	0.00550000	19.93169975	0.00560000	19.72389984	2.00000000	-999.98999023	0.00680000	19.75200081	0.00530000	0.00500000	2.93878293	8.38000011	4.00000000
6283636.00000000	150.18170166	2.33362198	22.81609917	0.02500000	22.39949989	0.01760000	22.28709984	0.01690000	21.78849983	1.00000000	0.01450000	0.03590000	21.88529968	0.01780000	0.00500000	2.29278207	8.27499962	4.00000000
6283713.00000000	150.17640686	2.33261204	21.18269920	0.01170000	20.88380051	0.00860000	20.89380074	0.00880000	20.57789993	2.00000000	-999.98999023	0.01260000	20.57789993	0.00810000	0.00500000	2.84608889	8.73499966	4.00000000
6284777.00000000	150.17800903	2.29581499	22.81539917	0.02510000	22.65810013	0.02030000	22.58810043	0.01930000	22.29299927	1.00000000	0.01870000	0.05520000	22.44540024	0.02550000	0.00500000	2.43474293	8.59200001	4.00000000
6288835.00000000	150.01721191	2.33926797	22.06329918	0.01750000	21.77039909	0.01300000	21.72439957	0.01280000	21.54100037	2.00000000	-999.98999023	0.02850000	21.47229958	0.01320000	0.00500000	2.45625401	8.66399956	4.00000000
6312626.00000000	150.58352661	2.56880593	21.20700073	0.01180000	21.02280045	0.00910000	21.03499985	0.00930000	20.85180092	2.00000000	-999.98999023	0.02440000	20.81859970	0.00920000	0.00500000	2.65192389	8.67399979	4.00000000
6313262.00000000	150.61613464	2.54928398	21.96389961	0.01680000	21.91830063	0.01410000	21.98740005	0.01440000	21.62579918	1.00000000	0.01400000	0.06080000	21.67429924	0.01520000	0.00500000	3.87355900	7.20599985	4.00000000
6313462.00000000	150.61535645	2.54396009	21.31200027	0.01240000	21.15320015	0.00970000	21.18549919	0.01000000	21.04630089	2.00000000	-999.98999023	0.02950000	21.02190018	0.01040000	0.00500000	2.59906101	8.67300034	4.00000000
6315954.00000000	150.61389160	2.49242091	21.79700089	0.01550000	21.54059982	0.01170000	21.49180031	0.01150000	21.12809944	2.00000000	-999.98999023	0.03600000	21.20269966	0.01130000	0.00500000	2.32444501	8.50300026	4.00000000
6316019.00000000	150.63459778	2.49436307	20.76939964	0.00960000	20.57069969	0.00740000	20.61860085	0.00770000	20.30179977	2.00000000	-999.98999023	0.01700000	20.40629959	0.00740000	0.00500000	7.25567818	8.81999969	4.00000000
6316557.00000000	150.57664490	2.47677803	22.17480087	0.01850000	21.99080086	0.01440000	22.00149918	0.01460000	21.84359932	2.00000000	-999.98999023	0.06530000	21.79100037	0.01580000	0.00500000	2.42868590	8.48499966	4.00000000
6317989.00000000	150.53567505	2.60131788	22.65060043	0.02330000	22.16230011	0.01570000	22.05769920	0.01500000	21.83060074	2.00000000	-999.98999023	0.05810000	21.64850044	0.01480000	0.00500000	2.63474989	8.38000011	4.00000000
6318358.00000000	150.39538574	2.59598303	23.26759911	0.03130000	22.73660088	0.02070000	22.59250069	0.01930000	22.11429977	1.00000000	0.01720000	0.09390000	22.17160034	0.02100000	0.00500000	2.73018193	8.26399994	4.00000000
6319365.00000000	150.52389526	2.56852102	21.74370003	0.01510000	21.51339912	0.01150000	21.46820068	0.01130000	21.31909943	2.00000000	-999.98999023	0.03570000	21.24469948	0.01160000	0.00500000	2.97360492	8.67300034	4.00000000
6320968.00000000	150.53370667	2.52723789	20.52650070	0.00860000	20.30900002	0.00660000	20.30039978	0.00670000	20.04549980	2.00000000	-999.98999023	0.01280000	20.02659988	0.00600000	0.00500000	3.52301311	8.30500031	4.00000000
6321014.00000000	150.51341248	2.52212691	20.56839943	0.00880000	19.97620010	0.00570000	19.72940063	0.00510000	19.29910088	2.00000000	-999.98999023	0.00730000	19.17989922	0.00410000	0.00500000	2.83092904	-999.98999023	4.00000000
6321657.00000000	150.54687500	2.50305796	21.71030045	0.01490000	21.53960037	0.01170000	21.54739952	0.01180000	21.42510033	2.00000000	-999.98999023	0.04040000	21.34339905	0.01220000	0.00500000	2.73848295	8.65600014	4.00000000
6322952.00000000	150.51771545	2.46480298	21.81800079	0.01560000	21.30130005	0.01040000	21.10969925	0.00960000	20.75569916	2.00000000	-999.98999023	0.02310000	20.58690071	0.00810000	0.00500000	3.37611699	-999.98999023	4.00000000
6323029.00000000	150.40107727	2.46173596	23.16519928	0.02970000	22.88279915	0.02240000	22.77400017	0.02150000	22.00799942	1.00000000	0.01790000	0.09560000	22.14749908	0.02140000	0.00500000	11.92083454	11.81999969	4.00000000
6323698.00000000	150.23959351	2.60088301	24.20919991	0.05100000	24.65110016	0.06170000	24.07869911	0.04270000	22.70649910	1.00000000	0.03310000	0.21140000	23.10630035	0.04250000	0.00500000	8.12273884	10.20300007	4.00000000
